environment,family,seed,action,probe_rr_delta,task_ndcg_delta,count
scifact_bm25,exact_title,11,keywords,0.0,0.014780586891574021,22
scifact_bm25,exact_title,11,identifier_terms,0.0,-0.08215564230515182,21
scifact_bm25,exact_title,11,lead_clause,0.0,-0.0019512905671190683,21
scifact_bm25,exact_title,23,keywords,0.0,0.014780586891574021,22
scifact_bm25,exact_title,23,identifier_terms,0.0,-0.08215564230515182,21
scifact_bm25,exact_title,23,lead_clause,-0.03571428571428571,-0.0019512905671190683,21
scifact_bm25,exact_title,47,keywords,0.0,0.014780586891574021,22
scifact_bm25,exact_title,47,identifier_terms,0.0,-0.08215564230515182,21
scifact_bm25,exact_title,47,lead_clause,0.0,-0.0019512905671190683,21
scifact_bm25,body_terms,11,keywords,0.0,0.014780586891574021,22
scifact_bm25,body_terms,11,identifier_terms,0.0,-0.08215564230515182,21
scifact_bm25,body_terms,11,lead_clause,0.0,-0.0019512905671190683,21
scifact_bm25,body_terms,23,keywords,0.0,0.014780586891574021,22
scifact_bm25,body_terms,23,identifier_terms,0.0,-0.08215564230515182,21
scifact_bm25,body_terms,23,lead_clause,0.0,-0.0019512905671190683,21
scifact_bm25,body_terms,47,keywords,0.0,0.014780586891574021,22
scifact_bm25,body_terms,47,identifier_terms,0.0,-0.08215564230515182,21
scifact_bm25,body_terms,47,lead_clause,0.0,-0.0019512905671190683,21
scifact_dense,exact_title,11,keywords,0.0,0.003845224213117615,22
scifact_dense,exact_title,11,identifier_terms,-0.06746031746031747,-0.10456229308590315,21
scifact_dense,exact_title,11,lead_clause,-0.03968253968253969,0.002903336697476777,21
scifact_dense,exact_title,23,keywords,0.0,0.003845224213117615,22
scifact_dense,exact_title,23,identifier_terms,-0.007936507936507938,-0.10456229308590315,21
scifact_dense,exact_title,23,lead_clause,-0.047619047619047616,0.002903336697476777,21
scifact_dense,exact_title,47,keywords,0.0,0.003845224213117615,22
scifact_dense,exact_title,47,identifier_terms,-0.04081632653061225,-0.10456229308590315,21
scifact_dense,exact_title,47,lead_clause,0.0,0.002903336697476777,21
scifact_dense,body_terms,11,keywords,0.0,0.003845224213117615,22
scifact_dense,body_terms,11,identifier_terms,-0.060657596371882096,-0.10456229308590315,21
scifact_dense,body_terms,11,lead_clause,0.0,0.002903336697476777,21
scifact_dense,body_terms,23,keywords,0.0,0.003845224213117615,22
scifact_dense,body_terms,23,identifier_terms,-0.0783068783068783,-0.10456229308590315,21
scifact_dense,body_terms,23,lead_clause,0.0,0.002903336697476777,21
scifact_dense,body_terms,47,keywords,0.0,0.003845224213117615,22
scifact_dense,body_terms,47,identifier_terms,-0.07380952380952381,-0.10456229308590315,21
scifact_dense,body_terms,47,lead_clause,0.0,0.002903336697476777,21
fiqa_bm25,exact_title,11,keywords,,-0.003733069855639537,0
fiqa_bm25,exact_title,11,identifier_terms,,-0.03897278251027941,0
fiqa_bm25,exact_title,11,lead_clause,,-0.00342319302490382,0
fiqa_bm25,exact_title,23,keywords,,-0.003733069855639537,0
fiqa_bm25,exact_title,23,identifier_terms,,-0.03897278251027941,0
fiqa_bm25,exact_title,23,lead_clause,,-0.00342319302490382,0
fiqa_bm25,exact_title,47,keywords,,-0.003733069855639537,0
fiqa_bm25,exact_title,47,identifier_terms,,-0.03897278251027941,0
fiqa_bm25,exact_title,47,lead_clause,,-0.00342319302490382,0
fiqa_bm25,body_terms,11,keywords,0.0,-0.003733069855639537,22
fiqa_bm25,body_terms,11,identifier_terms,0.0,-0.03897278251027941,21
fiqa_bm25,body_terms,11,lead_clause,0.0,-0.00342319302490382,21
fiqa_bm25,body_terms,23,keywords,0.0,-0.003733069855639537,22
fiqa_bm25,body_terms,23,identifier_terms,0.0,-0.03897278251027941,21
fiqa_bm25,body_terms,23,lead_clause,0.0,-0.00342319302490382,21
fiqa_bm25,body_terms,47,keywords,0.0,-0.003733069855639537,22
fiqa_bm25,body_terms,47,identifier_terms,0.0,-0.03897278251027941,21
fiqa_bm25,body_terms,47,lead_clause,0.0,-0.00342319302490382,21
fiqa_dense,exact_title,11,keywords,,-0.03469307472927602,0
fiqa_dense,exact_title,11,identifier_terms,,-0.0895602278039282,0
fiqa_dense,exact_title,11,lead_clause,,-0.01695300233399194,0
fiqa_dense,exact_title,23,keywords,,-0.03469307472927602,0
fiqa_dense,exact_title,23,identifier_terms,,-0.0895602278039282,0
fiqa_dense,exact_title,23,lead_clause,,-0.01695300233399194,0
fiqa_dense,exact_title,47,keywords,,-0.03469307472927602,0
fiqa_dense,exact_title,47,identifier_terms,,-0.0895602278039282,0
fiqa_dense,exact_title,47,lead_clause,,-0.01695300233399194,0
fiqa_dense,body_terms,11,keywords,0.0,-0.03469307472927602,22
fiqa_dense,body_terms,11,identifier_terms,-0.09200680272108842,-0.0895602278039282,21
fiqa_dense,body_terms,11,lead_clause,0.0,-0.01695300233399194,21
fiqa_dense,body_terms,23,keywords,0.0,-0.03469307472927602,22
fiqa_dense,body_terms,23,identifier_terms,-0.1413265306122449,-0.0895602278039282,21
fiqa_dense,body_terms,23,lead_clause,0.0,-0.01695300233399194,21
fiqa_dense,body_terms,47,keywords,0.0,-0.03469307472927602,22
fiqa_dense,body_terms,47,identifier_terms,-0.10918367346938775,-0.0895602278039282,21
fiqa_dense,body_terms,47,lead_clause,0.0,-0.01695300233399194,21
