environment,family,action,bucket,n_unique_pairs,mean_delta,nonzero_fraction,both_rank_one_fraction,both_absent_fraction
fiqa_bm25,direct_question,keywords,-1,48,-0.05277777777777778,0.20833333333333334,0.6458333333333334,0.125
fiqa_bm25,direct_question,keywords,2,25,-0.05466666666666667,0.28,0.56,0.12
fiqa_bm25,direct_question,keywords,3,23,-0.050724637681159424,0.13043478260869565,0.7391304347826086,0.13043478260869565
fiqa_bm25,direct_question,semantic,-1,48,-0.22795138888888888,0.4583333333333333,0.4166666666666667,0.125
fiqa_bm25,direct_question,semantic,2,25,-0.2056666666666667,0.56,0.32,0.12
fiqa_bm25,direct_question,semantic,3,23,-0.25217391304347825,0.34782608695652173,0.5217391304347826,0.13043478260869565
fiqa_bm25,direct_question,hyde,-1,48,-0.41626157407407405,0.6041666666666666,0.25,0.14583333333333334
fiqa_bm25,direct_question,hyde,2,25,-0.3808888888888889,0.64,0.2,0.16
fiqa_bm25,direct_question,hyde,3,23,-0.45471014492753625,0.5652173913043478,0.30434782608695654,0.13043478260869565
fiqa_bm25,direct_question,decomposed,-1,48,-0.3732060185185185,0.5833333333333334,0.2708333333333333,0.14583333333333334
fiqa_bm25,direct_question,decomposed,2,25,-0.39433333333333337,0.64,0.2,0.16
fiqa_bm25,direct_question,decomposed,3,23,-0.3502415458937198,0.5217391304347826,0.34782608695652173,0.13043478260869565
fiqa_bm25,indirect_question,keywords,-1,48,-0.020337301587301584,0.20833333333333334,0.3958333333333333,0.3333333333333333
fiqa_bm25,indirect_question,keywords,2,18,-0.08796296296296297,0.2777777777777778,0.2222222222222222,0.3888888888888889
fiqa_bm25,indirect_question,keywords,3,30,0.02023809523809524,0.16666666666666666,0.5,0.3
fiqa_bm25,indirect_question,semantic,-1,48,0.008597883597883604,0.3333333333333333,0.3541666666666667,0.2916666666666667
fiqa_bm25,indirect_question,semantic,2,18,-0.0015432098765432013,0.4444444444444444,0.2222222222222222,0.3333333333333333
fiqa_bm25,indirect_question,semantic,3,30,0.014682539682539684,0.26666666666666666,0.43333333333333335,0.26666666666666666
fiqa_bm25,indirect_question,hyde,-1,48,-0.17126322751322753,0.5,0.22916666666666666,0.2708333333333333
fiqa_bm25,indirect_question,hyde,2,18,-0.2469135802469136,0.6666666666666666,0.05555555555555555,0.2777777777777778
fiqa_bm25,indirect_question,hyde,3,30,-0.1258730158730159,0.4,0.3333333333333333,0.26666666666666666
fiqa_bm25,indirect_question,decomposed,-1,48,-0.14340277777777777,0.5,0.25,0.25
fiqa_bm25,indirect_question,decomposed,2,18,-0.18209876543209877,0.6111111111111112,0.1111111111111111,0.2777777777777778
fiqa_bm25,indirect_question,decomposed,3,30,-0.12018518518518519,0.43333333333333335,0.3333333333333333,0.23333333333333334
fiqa_dense,direct_question,keywords,-1,48,-0.050173611111111106,0.16666666666666666,0.625,0.16666666666666666
fiqa_dense,direct_question,keywords,2,25,-0.02166666666666667,0.08,0.56,0.28
fiqa_dense,direct_question,keywords,3,23,-0.08115942028985508,0.2608695652173913,0.6956521739130435,0.043478260869565216
fiqa_dense,direct_question,semantic,-1,48,-0.12306547619047618,0.22916666666666666,0.5625,0.20833333333333334
fiqa_dense,direct_question,semantic,2,25,-0.11733333333333335,0.24,0.44,0.32
fiqa_dense,direct_question,semantic,3,23,-0.129296066252588,0.21739130434782608,0.6956521739130435,0.08695652173913043
fiqa_dense,direct_question,hyde,-1,48,-0.18660714285714286,0.3333333333333333,0.4791666666666667,0.1875
fiqa_dense,direct_question,hyde,2,25,-0.10933333333333334,0.24,0.48,0.28
fiqa_dense,direct_question,hyde,3,23,-0.27060041407867497,0.43478260869565216,0.4782608695652174,0.08695652173913043
fiqa_dense,direct_question,decomposed,-1,48,-0.16753472222222224,0.2916666666666667,0.5,0.20833333333333334
